Game,Top_Positive_Words,Top_Negative_Words
MapleStory,"['server', 'european', 'maple', 'european server', 'maple story', 'boss party', 'special currency', 'nexon', 'server lag', 'lag']","['nexon', 'lest', 'server', 'monster', 'class', 'monster spawn', 'grindy past', 'platformer', 'gl', 'maintenance']"
Marvel’s Spider-Man Remastered,"['spiderman', 'story', 'swinge', 'web', 'combat', 'amazing', 'love', 'mile', 'pc', 'suit']","['repetitive', 'boss', 'boring', 'ugly', 'gadget', 'unlikable', 'main', 'filler', 'story', 'swinge']"
Mass Effect™ Legendary Edition,"['trilogy', 'story', 'shepard', 'bioware', 'character', 'series', 'scifi', 'ea', 'choice', 'rpg']","['ea', 'app', 'ea app', 'squad', 'launcher', 'story', 'ea launcher', 'steam', 'rpg', 'trilogy']"
Monster Hunter: World,"['love love', 'love', 'wild', 'hunt', 'iceborne', 'mh', 'weapon', 'friend', 'series', 'armor']","['weapon', 'wild', 'attack', 'capcom', 'gear', 'clutch', 'character', 'claw', 'combat', 'fight']"
My Time at Sandrock,"['portia', 'story', 'character', 'evershine', 'love', 'cozy', 'town', 'commission', 'pen', 'builder']","['multiplayer', 'story', 'lvl', 'buddy', 'cross', 'task', 'sandbox', 'reach', 'copy', 'mode']"
NBA 2K25,"['basketball', 'vc', 'pc', 'graphic', 'mode', 'era', 'career', 'year', 'sport', 'sale']","['foul', 'reach foul', 'foul reach', 'basketball', 'reach', 'vc', 'mycareer', 'crash', 'cpu', 'year']"
No Man's Sky,"['planet', 'space', 'exploration', 'hello', 'mans', 'nms', 'expedition', 'explore', 'ship', 'love']","['planet', 'mans', 'ship', 'base', 'bug', 'mission', 'fetch', 'upgrade', 'progress', 'space']"
PAYDAY 2,"['heist', 'bank', 'medic', 'bag', 'drill', 'police', 'love', 'mission', 'rob', 'friend']","['gibi', 'heist', 'rob', 'dislike', 'stealth', 'cash', 'dlcs', 'crash', 'freeze', 'people dlcs']"
PUBG: BATTLEGROUNDS,"['br', 'royale', 'battle royale', 'battle', 'cheater', 'shoot', 'love', 'hacker', 'gunplay', 'squad']","['cheater', 'hacker', 'ban', 'cheat', 'chinese', 'server', 'vanilla ice', 'bot', 'ice cream', 'hacker hacker']"
Pathfinder: Kingmaker — Enhanced Plus Edition,"['owlcat', 'kingdom management', 'crpgs', 'kingdom', 'crpg', 'rpg', 'story', 'wotr', 'character', 'management']","['encounter', 'spider', 'ttrpg', 'party', 'kingdom', 'kingdom management', 'quest', 'immune', 'combat', 'character']"
Phasmophobia,"['ghost', 'friend', 'scary', 'horror', 'mimic mimic', 'scare', 'mimic', 'evidence', 'hunt', 'map']","['ghost', 'rework', 'map', 'community', 'year', 'devs', 'roadmap', 'lobby', 'scary', 'release']"
Planet Coaster,"['park', 'tycoon', 'roller', 'guest', 'theme park', 'rollercoaster', 'ride', 'frontier', 'theme', 'management']","['park', 'tycoon', 'roof', 'building', 'build', 'ride', 'snap', 'ui', 'meter', 'management']"
Portal 2,"['puzzle', 'story', 'valve', 'glado', 'chamber', 'coop', 'coop mode', 'level', 'solve', 'love']","['puzzle', 'wall', 'white', 'clearly', 'manipulate', 'kinda', 'spray', 'bounce', 'run fps', 'local']"
Ravenfield,"['mod', 'modding', 'war', 'love', 'ragdoll', 'workshop', 'battlefield', 'sandbox', 'community', 'conquest']","['year', 'estimate', 'modding', 'mod', 'modder', 'promise', 'developer', 'early access', 'finish', 'mode']"
Red Dead Redemption 2,"['story', 'arthur', 'world', 'rockstar', 'character', 'graphic', 'morgan', 'arthur morgan', 'masterpiece', 'amazing']",
Resident Evil 4,"['remake', 'leon', 'ashley', 'original', 'story', 'ada', 'character', 'horror', 'love', 'mercenary']","['original', 'knife', 'boss', 'remake', 'horror', 'fight', 'melee', 'remaster', 'constant', 'boss fight']"
Robin Hood - Sherwood Builders,"['quest', 'village', 'puzzle', 'quest puzzle', 'combat', 'resource', 'world', 'basebuilde', 'builder', 'rpg']","['unfinished tech', 'tech demo', 'english', 'demo', 'unfinished', 'tech', 'immersion', 'target reason', 'simply craft', 'stop drink']"
Rust,"['raid', 'server', 'beach', 'spawn beach', 'spawn', 'base', 'survival', 'offline', 'friend', 'kill']","['server', 'ban', 'cheater', 'survival', 'people', 'run', 'base', 'wipe', 'kill', 'load']"
Satisfactory,"['factory', 'build', 'conveyor', 'conveyor belt', 'belt', 'factorio', 'automation', 'love', 'building', 'production']","['item', 'build', 'blueprint', 'train', 'belt', 'factory', 'station', 'building', 'truck', 'solve']"
Sekiro™: Shadows Die Twice - GOTY Edition,"['hesitation defeat', 'defeat hesitation', 'hesitation', 'combat', 'defeat', 'boss', 'fromsoft', 'fromsoftware', 'soul', 'parry']","['boss', 'hdr', 'parry', 'soul', 'block', 'camera', 'attack', 'controller', 'enemy', 'elden']"
Shadowrun Returns,"['story', 'hong kong', 'dragonfall', 'hong', 'barebone', 'racial limit', 'turn base', 'linear', 'orc', 'succinct']","['sequel', 'miss', 'ending okay', 'definitely forgettable', 'trilogy definitely', 'forgettable ending', 'die instant', 'fight unbalance', 'runner armor', 'blindside gamebreake']"
Sid Meier’s Civilization® VI,"['civ', 'civ civ', 'strategy', 'leader', 'turn', 'love', 'city', 'unit', 'victory', 'religion']","['civ', 'ai', 'city', 'era', 'crash', 'unit', 'nation', 'mac', 'produce', 'war']"
Space Engineers,"['ship', 'engineer', 'build', 'sandbox', 'minecraft', 'love', 'mod', 'physics', 'drill', 'survival']","['engineer', 'dlcs', 'ship', 'scenario', 'build', 'sandbox', 'tutorial', 'cosmetic', 'survival', 'watch tutorial']"
Split Fiction,"['hazelight', 'coop', 'story', 'experience', 'hazelight studio', 'friend', 'amazing', 'studio', 'love', 'friend pass']","['story', 'character', 'interactive', 'datum', 'world', 'ea', 'user', 'segment', 'puzzle', 'engage']"
Star Wars Outlaws,"['war', 'jedi', 'ubisoft', 'kay', 'story', 'world', 'character', 'open world', 'sale', 'far']","['ubisoft', 'war', 'story', 'crash', 'ubisoft connect', 'connect', 'open world', 'mission', 'open', 'kay']"
Stardew Valley,"['farming', 'cozy', 'farm', 'love', 'cheese cheese', 'relax', 'cheese', 'crop', 'fishing', 'harvest moon']","['steamdeck', 'task manager', 'mod support', 'manager', 'deck', 'steam deck', 'task', 'report', 'xbox', 'switch']"
Team Fortress 2,"['slip away', 'spy', 'love', 'slip', 'valve', 'heavy', 'medic', 'class', 'year', 'start love']","['valve', 'bot', 'view', 'year', 'community', 'competitive', 'community server', 'train', 'soul', 'carefully']"
Terraria,"['minecraft', 'boss', 'mod', 'tmodloader', 'friend', 'wiki', 'build', 'craft', 'sandbox', 'love']","['que', 'jogo', 'scare', 'da', 'os', 'se', 'boss', 'na', 'real', 'devs']"
The Binding of Isaac: Rebirth,"['gambling love', 'sacce', 'love gambling', 'sacce sacce', 'gambling', 'love', 'roguelike', 'item', 'bind', 'repentance']","['item', 'enemy', 'boss', 'run', 'unlock', 'issue', 'fight', 'spawn', 'foot', 'heart']"
The Sims™ 4,"['sim', 'love', 'life', 'ea', 'pack', 'mod', 'create', 'house', 'free', 'dlcs']","['sim', 'ea', 'pack', 'content', 'sim sim', 'mod', 'expansion', 'expansion pack', 'free', 'usd']"
The Survivalists,"['monkey', 'survivalist', 'survival', 'ya', 'ini', 'di', 'starve', 'grind', 'bug', 'cute']","['monkey', 'blueprint', 'craft bench', 'host monkeyscant', 'multiplayr', 'tell host', 'pls multiplayr', 'craft craft', 'bench bro', 'bro blueprint']"
The Witcher 3: Wild Hunt,"['geralt', 'story', 'quest', 'gwent', 'world', 'combat', 'character', 'ciri', 'rpg', 'monster']","['combat', 'control', 'loot', 'world', 'movement', 'story', 'material', 'travel', 'choice', 'experience']"
Thief,"['stealth', 'story', 'series', 'reboot', 'guard', 'city', 'old', 'steal', 'shadow', 'gamepad']","['stealth', 'open', 'playstyle', 'story', 'open world', 'pretty', 'gold', 'climb', 'chapter', 'reward']"
Titanfall® 2,"['campaign', 'titan', 'multiplayer', 'story', 'bt', 'movement', 'fps', 'shooter', 'pilot', 'amazing']","['ea', 'campaign', 'fuck ea', 'fuck', 'learn', 'launcher', 'ea launcher', 'robot', 'mode', 'tone']"
Tom Clancy's Rainbow Six® Siege,"['operator', 'tactical', 'shooter', 'rank', 'ubisoft', 'friend', 'round', 'teammate', 'tactical shooter', 'people']","['ubisoft', 'cheater', 'ban', 'server', 'rank', 'operator', 'que', 'op', 'shit', 'team']"
Tower Unite,"['condo', 'social', 'vrchat', 'friend', 'minigolf', 'gmod', 'usergenerated', 'arcade', 'decorate', 'hangout']","['server', 'coast', 'bowl', 'absolutely love', 'road', 'issue', 'report', 'optimize', 'plaza', 'bug devs']"
Unknown Game,"['code vein', 'anime', 'vein', 'soulslike', 'code', 'soul', 'io', 'companion', 'boss', 'story']","['soul', 'dark soul', 'dark', 'soulslike', 'enemy', 'code vein', 'stamina', 'vein', 'design', 'map']"
Valheim,"['survival', 'biome', 'world', 'vike', 'build', 'building', 'friend', 'craft', 'boss', 'progression']","['biome', 'boss', 'ashland', 'mistland', 'build', 'grind', 'travel', 'enemy', 'survival', 'silver']"
"Warhammer 40,000: Space Marine 2","['emperor', 'campaign', 'operation', 'pvp', 'pve', 'enemy', 'story', 'mode', 'combat', 'mission']","['campaign', 'operation', 'pvp', 'mission', 'weapon', 'saber', 'class', 'pve', 'enemy', 'parry']"
Windblown,"['dead cell', 'cell', 'early access', 'hade', 'dead', 'roguelike', 'weapon', 'access', 'run', 'early']","['dead cell', 'cell', 'motion twin', 'dead', 'twin', 'melee', 'motion', 'evil empire', 'content', 'weapon']"
X-Morph: Defense,"['tower', 'turret', 'anti air', 'wave', 'plasma', 'anti', 'attack', 'ship', 'laser', 'ressource']","['default screen', 'screen', 'default', 'set', 'andor default', 'window set', 'set set', 'screen box', 'launch screen', 'main andor']"
Yakuza 0,"['kiryu', 'majima', 'story', 'dame', 'series', 'peak', 'combat', 'ne', 'minigame', 'character']","['chapter', 'story', 'dig', 'reason', 'combat', 'unplayable', 'fight', 'pc', 'fuck', 'save']"
