Game,Top_Positive_Words,Top_Negative_Words
ARK: Survival Ascended,"['game', 'play', 'good', 'ark', 'fun', 'like', 'love', 'great', 'time', 'mod']","['game', 'play', 'ark', 'crash', 'server', 'run', 'bad', 'like', 'update', 'money']"
Beast Saga,['rpgea'],[]
Marvel’s Spider-Man Remastered,"['good', 'game', 'fun', 'spiderman', 'great', 'good game', 'play', 'love', 'great game', 'story']","['game', 'play', 'waste', 'story', 'fucking', 'boring', 'time', 'need', 'money', 'like']"
PUBG: BATTLEGROUNDS,"['good', 'game', 'good game', 'fun', 'pubg', 'nice', 'play', 'br', 'love', 'like']","['game', 'cheater', 'play', 'bad', 'hacker', 'china', 'meh', 'lag', 'suck', 'shit']"
DARK SOULS™ III,"['game', 'good', 'soul', 'great', 'dark', 'play', 'fun', 'good game', 'boss', 'time']","['game', 'play', 'dark', 'soul', 'boss', 'souls', 'dark souls', 'like', 'elden ring', 'elden']"
Dota 2,"['good', 'love', 'game', 'good game', 'love game', 'free', 'free game', 'time', 'caution', 'heed caution']","['shit', 'game', 'worst game', 'worst', 'stupid', 'toxic', 'game play', 'ew', 'play nerd', 'play']"
Age of Empires IV: Anniversary Edition,"['game', 'good', 'fun', 'great', 'play', 'aoe', 'like', 'good game', 'great game', 'love']","['game', 'aoe', 'play', 'player', 'like', 'good', 'time', 'screen', 'update', 'feel']"
Far Cry® 4,"['good', 'game', 'far', 'good game', 'story', 'play', 'love', 'fun', 'like', 'great']","['game', 'ubisoft', 'play', 'buy', 'suck', 'bad', 'far', 'launcher', 'connect', 'garbage']"
Destiny 2,"['game', 'good', 'play', 'great', 'fun', 'like', 'destiny', 'time', 'life', 'great game']","['game', 'play', 'content', 'good', 'player', 'time', 'new', 'destiny', 'pay', 'money']"
Planet Coaster,"['game', 'good', 'fun', 'coaster', 'great', 'park', 'like', 'play', 'love', 'fun game']","['game', 'buit', 'worth', 'coaster', 'build', 'buy', 'good', 'building', 'ride', 'game bad']"
My Time at Sandrock,"['game', 'love', 'good', 'time', 'good game', 'great', 'story', 'great game', 'fun', 'like']","['game', 'play', 'time', 'multiplayer', 'invert', 'controller', 'axis', 'axis controller', 'controller unplayable', 'invert axis']"
Deep Rock Galactic,"['game', 'rock', 'stone', 'rock stone', 'fun', 'play', 'good', 'bug', 'friend', 'great']","['game', 'mod', 'good', 'like', 'play', 'feel', 'player', 'hour', 'focus', 'friend']"
Elementary Anatomy: With Story Mode,"['mode', 'nice', 'layer', 'thing', 'learn', 'tool', 'ant', 'ant mode', 'improve', 'anatomy']","['work', 'work interface', 'work controller', 'unpolished', 'interface extremely', 'interface', 'extremely clumsy', 'extremely', 'controller work', 'controller']"
CODE VEIN,"['game', 'good', 'fun', 'anime', 'soul', 'like', 'play', 'nice', 'code', 'story']","['game', 'clunky', 'like', 'play', 'enemy', 'design', 'good', 'feel', 'crap', 'complet crap']"
Battlefield™ 2042,"['good', 'game', 'fun', 'battlefield', 'good game', 'like', 'play', 'bf', 'nice', 'amazing']","['game', 'play', 'bf', 'bad', 'ea', 'battlefield', 'time', 'like', 'buy', 'good']"
0 Day,"['wait devs', 'wait', 'love game', 'love', 'game wait', 'game', 'devs']",[]
Baldur's Gate 3,"['game', 'play', 'good', 'story', 'character', 'great', 'love', 'amazing', 'like', 'time']","['level', 'bg', 'way', 'like', 'character', 'game', 'gear', 'bad', 'look', 'feel']"
Sid Meier’s Civilization® VI,"['game', 'civ', 'fun', 'good', 'play', 'great', 'good game', 'like', 'strategy', 'love']","['game', 'civ', 'play', 'like', 'time', 'ai', 'crash', 'fun', 'bad', 'good']"
Keep Driving,"['game', 'great', 'fun', 'music', 'play', 'good', 'like', 'love', 'feel', 'road']","['game', 'like', 'run', 'fun', 'people', 'cash', 'enjoy', 'drive', 'feel', 'place']"
Europa Universalis IV,"['game', 'fun', 'good', 'play', 'bad', 'strategy', 'strategy game', 'gud', 'cinema', 'dd']","['game', 'pay', 'money', 'money migraine', 'pay money', 'want pay', 'migraine', 'dlc', 'want', 'card']"
Cursed to Golf,"['game', 'amazing', 'game amazing', 'golf', 'hole', 'card', 'worth', 'price', 'pretty', 'level']","['game', 'stroke', 'card', 'weird', 'tutorial', 'golf', 'play', 'feel', 'use', 'suffer']"
Crusader Kings III,"['good', 'game', 'good game', 'incest', 'fun', 'play', 'mod', 'like', 'best', 'best game']","['game', 'doo', 'lose', 'dlc', 'paradox', 'play', 'love', 'fucking', 'shit', 'bad']"
Sekiro™: Shadows Die Twice - GOTY Edition,"['game', 'good', 'combat', 'play', 'good game', 'boss', 'fun', 'die', 'hard', 'like']","['game', 'like', 'controller', 'boss', 'work', 'time', 'play', 'block', 'pc', 'camera']"
Company of Heroes 3,"['game', 'good', 'coh', 'fun', 'great', 'good game', 'like', 'great game', 'play', 'rts']","['game', 'coh', 'play', 'like', 'pay', 'unit', 'dlc', 'pay win', 'win', 'relic']"
Tower Unite,"['fun', 'game', 'play', 'friend', 'tower', 'hour', 'loooooove', 'gamba', 'good', 'time']","['game', 'devs', 'report', 'road', 'thing', 'kind boring', 'understand', 'understand house', 'house', 'tbh']"
